r1.csv,1,While theres a sober beauty to much of the film it does drag on a little and you find yourself wondering what exactly is the point that Geyrhalter is trying to make,http://en.wikipedia.org/wiki/beauty,en.wikipedia.org/wiki/Nikolaus_Geyrhalter,,,,,,,
r1.csv,2,Dysfunctional yes but the films power comes in the gradual lessening of the defenses as the men reach out into devastating honesty,http://en.wikipedia.org/wiki/film,http://en.wikipedia.org/wiki/honesty,,,,,,,
r1.csv,3,Some of the purely medical scenes here will test your capacity for human suffering but thats a minuscule impression of horrors these doctors face daily in farflung corners of the globe,http://en.wikipedia.org/wiki/suffering,http://en.wikipedia.org/wiki/the_horrors,capacity,medical scene,doctor,,,,
r1.csv,4,In doing some constructive niptuck and staging the musical numbers in splashy oldmusical style Shankman has put some of the bang back into the genre,http://en.wikipedia.org/wiki/genre,http://en.wikipedia.org/wiki/Adam_Shankman,,,,,,,
r1.csv,5,We Live in Public is a cautionary look at how surveillance affects individuals Far from the Wim Wenderss End of Violence premise it could signify the end of the world as we know it,http://en.wikipedia.org/wiki/premise,http://en.wikipedia.org/wiki/individual,http://en.wikipedia.org/wiki/surveillance,undefined,http://en.wikipedia.org/wiki/Wim_Wenders,http://en.wikipedia.org/wiki/The_End_of_Violence,en.wikipedia.org/wiki/We_Live_in_Public,,
r1.csv,6,Its an incredibly violent insanely entertaining movie that features scores of baddies getting killed by sword arrow knife boiling oil even a stampede of bulls Wait check that Not just bulls Flaming bulls,http://en.wikipedia.org/wiki/insanity,http://en.wikipedia.org/wiki/arrow,http://en.wikipedia.org/wiki/entertainment,http://en.wikipedia.org/wiki/stampede,http://en.wikipedia.org/wiki/violence,http://en.wikipedia.org/wiki/film,http://en.wikipedia.org/wiki/knife,http://en.wikipedia.org/wiki/sword,http://en.wikipedia.org/wiki/Villain
r1.csv,7,A spirited celebration of the deceased can honor the lost opportunity even as it challenges the living breathing concerned survivors to demand more from corporations government ourselves,http://en.wikipedia.org/wiki/honour,http://en.wikipedia.org/wiki/death,http://en.wikipedia.org/wiki/corporation,http://en.wikipedia.org/wiki/survivors,http://en.wikipedia.org/wiki/breathing,http://en.wikipedia.org/wiki/government,http://en.wikipedia.org/wiki/spirit,opportunity,
r1.csv,8,The lowbudget Australian thriller actually gets crazier and more offbeat as it goes Its worth it just to watch things spiral so far out of control,http://en.wikipedia.org/wiki/australia,http://en.wikipedia.org/wiki/watch,http://en.wikipedia.org/wiki/thriller_(genre),control,lowb,,,,
r1.csv,9,In Batman Begins Christian Bale gives us the best Bruce Wayne that has ever graced the screen,http://en.wikipedia.org/wiki/christian_bale,http://en.wikipedia.org/wiki/batman_begins,http://en.wikipedia.org/wiki/batman,,,,,,
r1.csv,10,A rich trove of news clips and interviews inform Robert Stones fastmoving documentary about the movement to save the planet and the cultural forces that helped it along or held it back,http://en.wikipedia.org/wiki/force,http://en.wikipedia.org/wiki/culture,http://en.wikipedia.org/wiki/planet,http://en.wikipedia.org/wiki/documentary_film,http://en.wikipedia.org/wiki/news,http://en.wikipedia.org/wiki/interview,http://en.wikipedia.org/wiki/Robert_Stone_(novelist),,
r1.csv,11,a fabulous daring intelligent and wild experience electric down to the finest details and polished by its own shrewd sense of comic intensity,,,,,,,,,
r1.csv,12,If you have the patience to sit through a slowmoving romance and you lack the vanity to be put off by explicit cowboy on cowboy relations youll greatly appreciate the light at the end of Brokeback Mountain a work of art thats more than just a movie,http://en.wikipedia.org/wiki/romance_(genre),http://en.wikipedia.org/wiki/brokeback_mountain,http://en.wikipedia.org/wiki/cowboy,http://en.wikipedia.org/wiki/work_of_art,relations,,,,
