a1.csv,1,the most manufactured piece of rubbish anyware in the world  god I hate this album and every song on it. I hate westlife and their simpering boyband plastic pop pap. In Britian,http://en.wikipedia.org/wiki/pop_music,http://en.wikipedia.org/wiki/waste,http://en.wikipedia.org/wiki/song,http://en.wikipedia.org/wiki/album,http://en.wikipedia.org/wiki/westlife,http://en.wikipedia.org/wiki/boy_band,],,,,
a1.csv,2,Lou Reed is God  I started out a velvets purist.  I guess all the leather and the CHP glasses gave me an incorrect impression of his solo stuff.  Golly Gee I was wrong.  Not the first time.  These 3 cd;s are mandatory (these are the only ones I have).  After a few listens I started to get it and gradually fell in love with the cleverness and charm of these musical gems.  Lou is life.  a mass of contradictions.  mainstream and not so mainstream.  clean and out of his mind. humble and conceited.  He;s throwing it out there for real? or is it tonguencheek?  or does it fluctuate?  constantly eluding himself? full circle and back again and still untouchable.  take it for what it is. impossible to pin and beyond categorization.  One of the all time greatest cds for hangovers as well.       ,http://en.wikipedia.org/wiki/mind,http://en.wikipedia.org/wiki/glasses,http://en.wikipedia.org/wiki/hangover,http://en.wikipedia.org/wiki/solo_(music),http://en.wikipedia.org/wiki/mainstream,http://en.wikipedia.org/wiki/god,http://en.wikipedia.org/wiki/compact_disc,http://en.wikipedia.org/wiki/contradiction,http://en.wikipedia.org/wiki/gemstone,http://en.wikipedia.org/wiki/Lou_Reed,]
a1.csv,3,NOT a soundtrack   save your money if that;s what you want....  I don;t know what this is,http://en.wikipedia.org/wiki/soundtrack_album,],,,,,,,,,
a1.csv,4,just awesome  this is one of my favorite songs.i absolutely love it i suggest to get the complete album. i am pretty sure you won;t regret it.     ,http://en.wikipedia.org/wiki/song,http://en.wikipedia.org/wiki/album,],,,,,,,,
a1.csv,5,nice.   A lot of people say Marion Raven is working the same formula as Avril Lavigne and Kelly Clarkson used,http://en.wikipedia.org/wiki/avril_lavigne,http://en.wikipedia.org/wiki/kelly_clarkson,http://en.wikipedia.org/wiki/Marion_Raven,],,,,,,,
a1.csv,6,Kiki Dee   Elton John at their Best  I do not have either this CD (Amoureuse) or the original LP in my collection+ADs- but I do have the LP,http://en.wikipedia.org/wiki/elton_john,http://en.wikipedia.org/wiki/Kiki_Dee,http://en.wikipedia.org/wiki/Gramophone_record,],,,,,,,
a1.csv,7,Found it 15 Years Later  I have been searching for Accepts Staying a Life 2CD set for the last 15 years Unlike the American version the German Import is much better and has an additional 4 tracks on it. The additional songs that are missing from the American release are: Head Over Heels Burning Neon Nights Outro (Bound to Fail) Also the American version is not a 2 CD set. If you are a hardcore Accept fan,http://en.wikipedia.org/wiki/song,http://en.wikipedia.org/wiki/compact_disc,http://en.wikipedia.org/wiki/germany,http://en.wikipedia.org/wiki/fan_(person),tracks,http://en.wikipedia.org/wiki/Staying_a_Life,http://en.wikipedia.org/wiki/Accept,http://en.wikipedia.org/wiki/Head_over_Heels_(Tears_for_Fears_song),http://en.wikipedia.org/wiki/United_States,],
a1.csv,8,ABSOLUTELY INCREDIBLE   Like so many others,Absolutely in ,],,,,,,,,,
a1.csv,9,Fela rises up on the west coast  This Boxed CD set contains many of the Great Fela songs,http://en.wikipedia.org/wiki/song,http://en.wikipedia.org/wiki/Compact_Disc,http://en.wikipedia.org/wiki/Fela_Kuti,],,,,,,,
a1.csv,10,Songs from the collective consciousness  Great music.  Go beyond the surface,http://en.wikipedia.org/wiki/song,http://en.wikipedia.org/wiki/consciousness,],,,,,,,,
