r2.csv,1,The closing chapter carries a bleak tone resembling a death row march but the volcanic filmmaking remains in a state of alerta splendidly cinematic finishing move  ,http://en.wikipedia.org/wiki/death,http://en.wikipedia.org/wiki/chapter_(books),http://en.wikipedia.org/wiki/filmmaking,http://en.wikipedia.org/wiki/death_row,finishing move,cinematic,],
r2.csv,2,Cinematic royalty  ,Royal,],,,,,,
r2.csv,3,A touching and humorous documentary  ,http://en.wikipedia.org/wiki/humour,http://en.wikipedia.org/wiki/documentary_film,],,,,,
r2.csv,4,continues the Belgian writingdirecting brothers JeanPierre and Luc Dardennes extraordinary run of charting the lives of European downandouters navigating difficult moral and spiritual terrain  ,http://en.wikipedia.org/wiki/terrain,http://en.wikipedia.org/wiki/belgium,http://en.wikipedia.org/wiki/Dardenne_brothers,jean pierre,],,,
r2.csv,5,It tells you a lot about South India its essentially rural culture and the stifling poverty of its underclass  ,http://en.wikipedia.org/wiki/culture,http://en.wikipedia.org/wiki/south_india,http://en.wikipedia.org/wiki/underclass,http://en.wikipedia.org/wiki/poverty,],,,
r2.csv,6,A jarring and beautiful movie  ,http://en.wikipedia.org/wiki/film,],,,,,,
r2.csv,7,The films excellent screenplay and extraordinary acting trio of Okonedo Neill and Krige bring a littleknown historical episode to vivid life  ,http://en.wikipedia.org/wiki/film,http://en.wikipedia.org/wiki/acting,http://en.wikipedia.org/wiki/screenplay,http://en.wikipedia.org/wiki/Sam_Neill,http://en.wikipedia.org/wiki/Sophie_Okonedo,http://en.wikipedia.org/wiki/Alice_Krige,okonedo,]
r2.csv,8,A stirring documentary  ,http://en.wikipedia.org/wiki/Documentary_film,],,,,,,
r2.csv,9,Watching Moon is kind of like seeing a booster rocket thrust seventies scifi films deeper into orbit  ,http://en.wikipedia.org/wiki/1970s,http://en.wikipedia.org/wiki/science_fiction,http://en.wikipedia.org/wiki/film,http://en.wikipedia.org/wiki/orbit,http://en.wikipedia.org/wiki/Moon_(film),],,
r2.csv,10,As Gibney demonstrates in Client 9 The Rise and Fall of Eliot Spitzer plenty of politicians remained in office amid similar revelations  ,http://en.wikipedia.org/wiki/politician,http://en.wikipedia.org/wiki/Alex_Gibney,http://en.wikipedia.org/wiki/Client_9:_The_Rise_and_Fall_of_Eliot_Spitzer,http://en.wikipedia.org/wiki/Eliot_Spitzer,],,,
r2.csv,11,An explosive chronicle of how the truth can be crushed by paranoia rhetoric and military brutality even in a democracy such as the United States  ,http://en.wikipedia.org/wiki/paranoia,http://en.wikipedia.org/wiki/democracy,http://en.wikipedia.org/wiki/military,http://en.wikipedia.org/wiki/united_states,chronicle,],,
r2.csv,12,Drumline has a lower profile than almost any other holiday movie yet it boasts a higher fun quotient than many of its more touted competitors  ,http://en.wikipedia.org/wiki/film,http://en.wikipedia.org/wiki/Drumline_(film),http://en.wikipedia.org/wiki/Holiday,],,,,
r2.csv,13,Though Wilson is considerably younger blonder more handsome and more Gentile than the Woody we know hes somehow a natural in the role anyway  ,http://en.wikipedia.org/wiki/woodrow_wilson,http://en.wikipedia.org/wiki/role,http://en.wikipedia.org/wiki/Woody_Allen,],,,,
r2.csv,14,Bolt is slick sophisticated incredibly well scripted and sprinkled with enough animagic fairy dust to keep both the adults and the wee ones totally sated  ,http://en.wikipedia.org/wiki/bolt_(2008_film),http://en.wikipedia.org/wiki/adult,fairy dust,],,,,
r2.csv,15,Morrison and screenwriter Angus MacLachlan put an unusual spin on the old chestnuts playing them straight  well almost straight  and letting the subtle knotty humanity shine through the surface tics and traits  ,http://en.wikipedia.org/wiki/screenwriter,http://en.wikipedia.org/wiki/chestnut,http://en.wikipedia.org/wiki/Angus_MacLachlan,http://en.wikipedia.org/wiki/Van_Morrison,http://en.wikipedia.org/wiki/Human,],,
r2.csv,16,You certainly hope that the humility Mike Tyson is showing these days is genuine and not just an act  ,http://en.wikipedia.org/wiki/humility,http://en.wikipedia.org/wiki/mike_tyson,],,,,,
r2.csv,17,Dear Muppets Thank goodness youre back And thank goodness for the pens of Jason Segel and Nicholas Stoller who wrote this brilliant screenplay to get you back on the big screen where you belong  ,http://en.wikipedia.org/wiki/jason_segel,http://en.wikipedia.org/wiki/screenplay,http://en.wikipedia.org/wiki/The_Muppets,http://en.wikipedia.org/wiki/Nicholas_Stoller,],,,
r2.csv,18,Moneyball easily stands among the finest baseball movies around though I admit thats not saying a whole lot since competition in that category is fairly light  ,http://en.wikipedia.org/wiki/film,http://en.wikipedia.org/wiki/baseball,http://en.wikipedia.org/wiki/competition,http://en.wikipedia.org/wiki/Moneyball_(film),http://en.wikipedia.org/wiki/Moneyball,],,
